Index,Name,Type,Category,PP,Power,Accuracy,Desc,Link
0,Pound,Normal,Physical,35,40,1.0,Pound (Japanese: はたく Strike) is a damage-dealing Normal-type move introduced in Generation I. Pound inflicts damage and has no secondary effect.,https://bulbapedia.bulbagarden.net/wiki/Pound_(move),pound
1,KarateChop,Fighting,Physical,25,50,1.0,Karate Chop (Japanese: からてチョップ Karate Chop) is a damage-dealing Fighting-type move introduced in Generation I. Prior to Generation II; it was a Normal-type move. Karate Chop deals damage and has an increased critical-hit ratio.,https://bulbapedia.bulbagarden.net/wiki/Karate_Chop_(move),karatechop
2,DoubleSlap,Normal,Physical,10,15,0.85,Double Slap (Japanese: おうふくビンタ Round Trip Slap); formatted as DoubleSlap prior to Pokémon X and Y; is a damage-dealing Normal-type multi-strike move introduced in Generation I. DoubleSlap inflicts damage; hitting the target 2-5 times per use. There is a 37.5% chance that it will hit 2 times; a 37.5% chance that it will hit 3 times; a 12.5% chance that it will hit 4 times; and a 12.5% chance that it will hit 5 times. Although only the first strike can be a critical hit; each successive one will deal the same amount of damage.,https://bulbapedia.bulbagarden.net/wiki/Double_Slap_(move),doubleslap
3,CometPunch,Normal,Physical,15,18,0.85,Comet Punch (Japanese: れんぞくパンチ Consecutive Punch) is a damage-dealing Normal-type multi-strike move introduced in Generation I. Comet Punch inflicts damage; hitting the target 2-5 times per use. There is a 37.5% chance that it will hit 2 times; a 37.5% chance that it will hit 3 times; a 12.5% chance that it will hit 4 times; and a 12.5% chance that it will hit 5 times. Although only the first strike can be a critical hit; each successive one will deal the same amount of damage. Comet Punch will end instantly upon breaking a substitute. Bide and Counter deal damage based on the last strike alone.,https://bulbapedia.bulbagarden.net/wiki/Comet_Punch_(move),cometpunch
4,MegaPunch,Normal,Physical,20,80,0.85,Mega Punch (Japanese: メガトンパンチ Megaton Punch) is a damage-dealing Normal-type move introduced in Generation I. It was TM01 in Generation I and TM00 in Pokémon Sword and Shield. Mega Punch deals damage and has no secondary effect.,https://bulbapedia.bulbagarden.net/wiki/Mega_Punch_(move),megapunch
5,PayDay,Normal,Physical,20,40,1.0,Pay Day (Japanese: ネコにこばん Coin for a Cat) is a damage-dealing Normal-type move introduced in Generation I. It is TM16 in Generation I; TM57 in Pokémon: Let's Go; Pikachu! and Let's Go; Eevee!; and TM02 in Pokémon Sword and Shield. Pay Day deals damage. When this move hits the target; it scatters coins on the ground.,https://bulbapedia.bulbagarden.net/wiki/Pay_Day_(move),payday
6,FirePunch,Fire,Physical,15,75,1.0,Fire Punch (Japanese: ほのおのパンチ Flame Punch) is a damage-dealing Fire-type move introduced in Generation I. Fire Punch does damage and has a 10% chance of burning the opponent.,https://bulbapedia.bulbagarden.net/wiki/Fire_Punch_(move),firepunch
7,IcePunch,Ice,Physical,15,75,1.0,Ice Punch (Japanese: れいとうパンチ Freezing Punch) is a damage-dealing Ice-type move introduced in Generation I. Ice Punch does damage and has a 10% chance of freezing the target.,https://bulbapedia.bulbagarden.net/wiki/Ice_Punch_(move),icepunch
8,ThunderPunch,Electric,Physical,15,75,1.0,Thunder Punch (Japanese: かみなりパンチ Thunder Punch); formatted as ThunderPunch prior to Pokémon X and Y; is a damage-dealing Electric-type move introduced in Generation I. ThunderPunch does damage and has a 10% chance of paralyzing the opponent. ThunderPunch cannot paralyze Electric-type Pokémon.,https://bulbapedia.bulbagarden.net/wiki/Thunder_Punch_(move),thunderpunch
9,Scratch,Normal,Physical,35,40,1.0,Scratch (Japanese: ひっかく Scratch) is a damage-dealing Normal-type move introduced in Generation I. Scratch inflicts damage and has no secondary effect.,https://bulbapedia.bulbagarden.net/wiki/Scratch_(move),scratch
